               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14354,            0.064825,                   0,             0.78607,              0.7218,             0.78417,             0.38812,             0.10093,            0.042484,                   0,            0.067091,          0.00033242,          0.00033242
                   1,            0.091298,            0.041043,                   0,             0.86988,             0.80126,             0.86873,             0.40078,            0.091804,            0.037693,                   0,            0.034087,          0.00066175,          0.00066175
                   2,            0.084152,             0.03689,                   0,             0.89655,             0.83822,             0.91029,             0.51126,            0.074528,            0.035167,                   0,           0.0010789,          0.00098709,          0.00098709
                   3,            0.077731,            0.033833,                   0,             0.91209,             0.87024,             0.93359,             0.44183,            0.077603,            0.032978,                   0,            0.000982,            0.000982,            0.000982
                   4,            0.071972,            0.031645,                   0,             0.92176,              0.8952,             0.94579,             0.56404,            0.064118,            0.030497,                   0,            0.000982,            0.000982,            0.000982
                   5,            0.067265,            0.029833,                   0,             0.93263,             0.90854,             0.95637,             0.60303,            0.057451,            0.029221,                   0,            0.000976,            0.000976,            0.000976
                   6,            0.064466,            0.028524,                   0,             0.93688,             0.91845,             0.96165,              0.6167,            0.057662,            0.028358,                   0,             0.00097,             0.00097,             0.00097
                   7,            0.061723,            0.027662,                   0,             0.94535,             0.92378,             0.96558,             0.63889,            0.053195,            0.027249,                   0,            0.000964,            0.000964,            0.000964
                   8,             0.05984,            0.027235,                   0,             0.95153,             0.92765,              0.9691,             0.64605,            0.053028,            0.026762,                   0,            0.000958,            0.000958,            0.000958
                   9,            0.058574,            0.026596,                   0,             0.94924,             0.92995,             0.97019,             0.66611,            0.050004,            0.026333,                   0,            0.000952,            0.000952,            0.000952
                  10,            0.056862,            0.025947,                   0,             0.95663,             0.93502,              0.9738,             0.65844,            0.051281,            0.025786,                   0,            0.000946,            0.000946,            0.000946
                  11,            0.055581,            0.025436,                   0,             0.95955,             0.94009,             0.97718,             0.67121,            0.049485,            0.025258,                   0,             0.00094,             0.00094,             0.00094
                  12,            0.054824,             0.02527,                   0,             0.95791,             0.93682,             0.97755,             0.67491,            0.048959,            0.025123,                   0,            0.000934,            0.000934,            0.000934
                  13,             0.05407,            0.024668,                   0,             0.95706,             0.94273,             0.97823,             0.68376,            0.047341,            0.024876,                   0,            0.000928,            0.000928,            0.000928
                  14,            0.052835,            0.024406,                   0,             0.96597,              0.9412,             0.98027,              0.6932,             0.04646,            0.024308,                   0,            0.000922,            0.000922,            0.000922
                  15,            0.052149,            0.024135,                   0,             0.96813,             0.94344,             0.98263,             0.68915,            0.047208,            0.024033,                   0,            0.000916,            0.000916,            0.000916
                  16,             0.05172,            0.023982,                   0,             0.96522,             0.94931,              0.9828,                 0.7,            0.045732,            0.023699,                   0,             0.00091,             0.00091,             0.00091
                  17,            0.050776,            0.023411,                   0,             0.96439,             0.95198,             0.98355,             0.69617,            0.045427,            0.023768,                   0,            0.000904,            0.000904,            0.000904
                  18,            0.050564,            0.023448,                   0,             0.96192,             0.95598,              0.9841,             0.70486,            0.045227,            0.023507,                   0,            0.000898,            0.000898,            0.000898
                  19,             0.04996,            0.023198,                   0,             0.96933,             0.95763,             0.98572,              0.7082,            0.044567,            0.023091,                   0,            0.000892,            0.000892,            0.000892
                  20,            0.049341,            0.022939,                   0,              0.9687,             0.95532,             0.98654,             0.71282,            0.044303,            0.022972,                   0,            0.000886,            0.000886,            0.000886
                  21,            0.048934,            0.022688,                   0,             0.96214,             0.96227,             0.98604,             0.71231,            0.043988,            0.023203,                   0,             0.00088,             0.00088,             0.00088
                  22,            0.048604,            0.022781,                   0,             0.96867,             0.96025,               0.988,             0.71601,            0.043676,            0.022654,                   0,            0.000874,            0.000874,            0.000874
                  23,            0.048421,            0.022573,                   0,             0.96843,             0.96208,             0.98764,             0.72036,            0.043812,            0.022538,                   0,            0.000868,            0.000868,            0.000868
                  24,             0.04788,            0.022457,                   0,             0.96902,             0.96322,             0.98815,             0.72442,            0.042929,            0.022378,                   0,            0.000862,            0.000862,            0.000862
                  25,            0.047454,            0.022152,                   0,             0.97238,             0.95913,             0.98877,             0.72373,            0.042934,            0.022294,                   0,            0.000856,            0.000856,            0.000856
                  26,            0.047284,            0.022225,                   0,             0.97478,             0.96018,             0.98985,              0.7282,            0.042404,            0.022047,                   0,             0.00085,             0.00085,             0.00085
                  27,            0.046797,            0.022161,                   0,             0.97394,             0.96122,             0.98913,             0.72604,            0.042518,            0.022124,                   0,            0.000844,            0.000844,            0.000844
                  28,            0.046216,            0.021761,                   0,             0.97106,             0.96554,             0.98894,             0.72999,            0.042219,            0.021951,                   0,            0.000838,            0.000838,            0.000838
