               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063543,            0.036622,                   0,             0.51544,             0.72017,             0.61453,             0.28047,            0.053105,            0.037238,                   0,            0.070083,           0.0033242,           0.0033242
                   1,            0.044367,            0.024023,                   0,             0.94641,              0.8931,             0.95525,             0.54077,            0.034848,            0.029165,                   0,            0.040053,           0.0066275,           0.0066275
                   2,            0.039419,             0.02183,                   0,             0.94053,             0.91313,             0.95585,             0.56375,            0.037623,            0.029608,                   0,           0.0099927,           0.0099009,           0.0099009
                   3,            0.033393,            0.020341,                   0,              0.9673,             0.94684,             0.98196,             0.57112,            0.031952,            0.025559,                   0,            0.009865,            0.009865,            0.009865
                   4,            0.029494,              0.0187,                   0,             0.96519,             0.95808,             0.98639,             0.61437,            0.028547,            0.024734,                   0,            0.009865,            0.009865,            0.009865
                   5,            0.027583,            0.018019,                   0,              0.9688,             0.95843,             0.98568,             0.65932,            0.026319,            0.023521,                   0,             0.00982,             0.00982,             0.00982
                   6,            0.026415,            0.017575,                   0,             0.97557,             0.95941,             0.98858,             0.65359,            0.027408,            0.023501,                   0,            0.009775,            0.009775,            0.009775
                   7,            0.025584,            0.017285,                   0,             0.98069,             0.95027,             0.98994,             0.68609,            0.024989,            0.022937,                   0,             0.00973,             0.00973,             0.00973
                   8,            0.024752,            0.016894,                   0,             0.97894,             0.96608,              0.9904,             0.69537,            0.023531,            0.022278,                   0,            0.009685,            0.009685,            0.009685
                   9,            0.024224,            0.016735,                   0,             0.98339,             0.96646,             0.99198,             0.70551,            0.022638,             0.02134,                   0,             0.00964,             0.00964,             0.00964
                  10,            0.024012,            0.016653,                   0,             0.97709,             0.97713,             0.99119,             0.70584,            0.023322,            0.021963,                   0,            0.009595,            0.009595,            0.009595
                  11,             0.02346,            0.016315,                   0,             0.98256,              0.9768,             0.99287,             0.73448,            0.021213,            0.020547,                   0,             0.00955,             0.00955,             0.00955
                  12,            0.023447,            0.016425,                   0,             0.98021,             0.97523,             0.99266,             0.70647,            0.023499,            0.021547,                   0,            0.009505,            0.009505,            0.009505
                  13,            0.023206,            0.016478,                   0,             0.97636,             0.97574,             0.99192,              0.7287,            0.021323,            0.020921,                   0,             0.00946,             0.00946,             0.00946
                  14,             0.02256,            0.015858,                   0,             0.97992,             0.97313,             0.99073,             0.71017,            0.022973,            0.021218,                   0,            0.009415,            0.009415,            0.009415
                  15,            0.022585,            0.015938,                   0,             0.98548,             0.97542,             0.99308,             0.73317,            0.021711,            0.020597,                   0,             0.00937,             0.00937,             0.00937
                  16,            0.022493,            0.015786,                   0,             0.98585,              0.9758,             0.99315,             0.73942,            0.021097,             0.02032,                   0,            0.009325,            0.009325,            0.009325
                  17,            0.022252,            0.015668,                   0,             0.98631,             0.98056,             0.99359,             0.75621,            0.019962,             0.01968,                   0,             0.00928,             0.00928,             0.00928
                  18,            0.022277,            0.015567,                   0,             0.98562,             0.97933,             0.99355,             0.76367,            0.019754,            0.019518,                   0,            0.009235,            0.009235,            0.009235
                  19,            0.021988,            0.015603,                   0,             0.98593,             0.98133,              0.9937,              0.7451,             0.02078,            0.019897,                   0,             0.00919,             0.00919,             0.00919
                  20,            0.021674,            0.015263,                   0,             0.98719,             0.98375,             0.99367,             0.74498,            0.021028,            0.019928,                   0,            0.009145,            0.009145,            0.009145
                  21,            0.021716,            0.015329,                   0,             0.98684,             0.98562,              0.9938,             0.76059,             0.01981,            0.019275,                   0,              0.0091,              0.0091,              0.0091
                  22,            0.021271,            0.015086,                   0,             0.98946,             0.98133,             0.99391,             0.74702,            0.021134,            0.019846,                   0,            0.009055,            0.009055,            0.009055
                  23,              0.0211,            0.015111,                   0,             0.99058,             0.98233,             0.99392,             0.76795,            0.019685,            0.019118,                   0,             0.00901,             0.00901,             0.00901
                  24,              0.0212,            0.014956,                   0,             0.99094,             0.97915,              0.9937,             0.75545,            0.020474,            0.019493,                   0,            0.008965,            0.008965,            0.008965
                  25,            0.021009,            0.015162,                   0,             0.98966,             0.98484,               0.994,             0.76121,            0.019907,            0.019093,                   0,             0.00892,             0.00892,             0.00892
                  26,            0.021007,            0.015026,                   0,             0.99015,             0.98361,             0.99395,             0.77612,            0.019261,            0.018763,                   0,            0.008875,            0.008875,            0.008875
                  27,            0.020657,            0.014785,                   0,             0.99024,             0.98228,             0.99401,             0.77687,            0.019013,            0.018731,                   0,             0.00883,             0.00883,             0.00883
                  28,            0.020696,            0.014915,                   0,             0.98738,             0.98628,             0.99419,             0.77857,            0.018455,            0.018438,                   0,            0.008785,            0.008785,            0.008785
                  29,            0.020537,             0.01493,                   0,             0.99061,              0.9848,             0.99401,             0.77362,            0.019096,            0.018842,                   0,             0.00874,             0.00874,             0.00874
                  30,            0.020497,            0.014974,                   0,             0.98921,             0.98819,             0.99395,             0.76952,            0.019601,            0.018809,                   0,            0.008695,            0.008695,            0.008695
                  31,            0.020522,            0.014743,                   0,             0.99046,             0.98886,             0.99421,             0.77361,            0.019015,            0.018658,                   0,             0.00865,             0.00865,             0.00865
                  32,            0.020434,            0.014829,                   0,             0.98925,             0.99028,             0.99421,             0.77524,            0.019098,             0.01864,                   0,            0.008605,            0.008605,            0.008605
